camera_count,lpips_alex_spatial,masked_mae,masked_psnr,method,n_id,n_obs,pixel_count_mean,region,seed,source,ssim,subject,variant
14,0.31723008745403375,0.15418134462932015,12.098812286165842,adaptive,128,1,5178.071428571428,foreground,0,ordinary,,175,primary_full_target_density1
14,0.3033804613984455,0.08827044469369302,17.214666911797856,adaptive,128,1,3771.8571428571427,flame_supported,0,ordinary,,175,primary_full_target_density1
14,0.3527041480449614,0.327977406144666,7.716043282368177,adaptive,128,1,1406.2142857142858,flame_unsupported,0,ordinary,,175,primary_full_target_density1
14,0.25722378168123844,0.06999393370738254,20.389960353861284,adaptive,128,1,226.92857142857142,oral,0,ordinary,,175,primary_full_target_density1
14,0.2253798844407102,0.08004757529295572,19.223247583265817,adaptive,128,1,82.07142857142857,eyes,0,ordinary,,175,primary_full_target_density1
14,0.19042105479963514,0.060805628352058556,14.251334205904444,adaptive,128,1,6085.928571428572,background,0,ordinary,,175,primary_full_target_density1
11,0.2408157340751207,0.09684234873979217,13.156743426806303,adaptive,128,4,11264.0,full_frame,0,ordinary,0.5830612778663635,175,primary_full_target_density1
11,0.2990945716372848,0.136410542700409,12.683049383131532,adaptive,128,4,5275.454545454545,foreground,0,ordinary,,175,primary_full_target_density1
11,0.2862283527206445,0.0769026225633106,18.198493407674878,adaptive,128,4,3810.909090909091,flame_supported,0,ordinary,,175,primary_full_target_density1
11,0.33082482917952183,0.28899113966402473,8.225613212964358,adaptive,128,4,1464.5454545454545,flame_unsupported,0,ordinary,,175,primary_full_target_density1
11,0.23114903456470665,0.07708948539863657,19.37537667510429,adaptive,128,4,223.1818181818182,oral,0,ordinary,,175,primary_full_target_density1
11,0.21319707370277022,0.07888888482373249,19.73172059833171,adaptive,128,4,82.0,eyes,0,ordinary,,175,primary_full_target_density1
11,0.18558843560358085,0.05946832224573266,14.179592628365247,adaptive,128,4,5988.545454545455,background,0,ordinary,,175,primary_full_target_density1
7,0.23348959080584636,0.09340018111389954,13.269099190921837,adaptive,128,8,11264.0,full_frame,0,ordinary,0.5903419937406268,175,primary_full_target_density1
7,0.2996339208232942,0.12715722069558485,13.15570506803874,adaptive,128,8,5260.571428571428,foreground,0,ordinary,,175,primary_full_target_density1
7,0.2826521459206787,0.07413653250312016,18.45177404608325,adaptive,128,8,3781.0,flame_supported,0,ordinary,,175,primary_full_target_density1
7,0.34058133506488947,0.2592083903493183,8.872529431545557,adaptive,128,8,1479.5714285714287,flame_unsupported,0,ordinary,,175,primary_full_target_density1
7,0.23629596406091533,0.07601756830586859,19.30269110300005,adaptive,128,8,220.85714285714286,oral,0,ordinary,,175,primary_full_target_density1
7,0.20416162975254684,0.08054987749299813,19.594176118085915,adaptive,128,8,82.71428571428571,eyes,0,ordinary,,175,primary_full_target_density1
7,0.1728463218620913,0.062089705665410645,13.834944897606835,adaptive,128,8,6003.428571428572,background,0,ordinary,,175,primary_full_target_density1
14,0.28709175060321757,0.1019684582045584,13.271312379274805,adaptive,128,1,11264.0,full_frame,0,ordinary,0.5579782681805747,178,primary_full_target_density1
14,0.37837377466520467,0.16094698744422886,11.258878733294333,adaptive,128,1,6993.928571428572,foreground,0,ordinary,,178,primary_full_target_density1
14,0.3433325500566155,0.07693350394518673,18.985066109731015,adaptive,128,1,4201.142857142857,flame_supported,0,ordinary,,178,primary_full_target_density1
14,0.42417239694266984,0.28615829927315556,7.731227950042907,adaptive,128,1,2792.785714285714,flame_unsupported,0,ordinary,,178,primary_full_target_density1
14,0.2814961728977446,0.07771983681222223,26.761284479426728,adaptive,128,1,201.35714285714286,oral,0,ordinary,,178,primary_full_target_density1
14,0.24052998648382437,0.06541871917557356,21.70141905709383,adaptive,128,1,70.21428571428571,eyes,0,ordinary,,178,primary_full_target_density1
