ci_high,ci_low,control_minus_reference_mean,control_variant,geometry_metric,identity_count,method,n_id,n_obs,reference_variant
-7.811585787137352,-13.75278873006503,-10.728999932607016,head_target_density1,oral_slots_offset_mean_mm,20,released,384,8,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,oral_slots_offset_mean_mm,20,hard,8,1,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,oral_slots_offset_mean_mm,20,hard,8,4,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,oral_slots_offset_mean_mm,20,hard,8,8,primary_full_target_density1
-6.3698565236727385,-14.221917330423992,-9.980635086695353,full_target_density2,oral_slots_offset_mean_mm,20,adaptive,8,1,primary_full_target_density1
-5.8136324747403485,-12.689131644566851,-9.070948044459026,full_target_density2,oral_slots_offset_mean_mm,20,adaptive,8,4,primary_full_target_density1
-5.581329558293029,-12.143916076024375,-8.689084672927857,full_target_density2,oral_slots_offset_mean_mm,20,adaptive,8,8,primary_full_target_density1
-2.425608639717103,-4.860873779853184,-3.599033180872599,full_target_density2,oral_slots_offset_mean_mm,20,released,8,1,primary_full_target_density1
-2.214973000685375,-4.373931914170583,-3.2480935414632164,full_target_density2,oral_slots_offset_mean_mm,20,released,8,4,primary_full_target_density1
-2.1369136377175657,-4.091954644521078,-3.0555368105570473,full_target_density2,oral_slots_offset_mean_mm,20,released,8,8,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,oral_slots_offset_mean_mm,20,hard,384,1,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,oral_slots_offset_mean_mm,20,hard,384,4,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,oral_slots_offset_mean_mm,20,hard,384,8,primary_full_target_density1
-4.10270457069079,-8.073254516919453,-6.137722396850586,full_target_density2,oral_slots_offset_mean_mm,20,adaptive,384,1,primary_full_target_density1
-4.248494140307108,-8.482981328169505,-6.396016804377237,full_target_density2,oral_slots_offset_mean_mm,20,adaptive,384,4,primary_full_target_density1
-3.908101043303807,-7.783644866545996,-5.899562152226766,full_target_density2,oral_slots_offset_mean_mm,20,adaptive,384,8,primary_full_target_density1
-4.4305070507526425,-9.105564570824306,-6.727666171391805,full_target_density2,oral_slots_offset_mean_mm,20,released,384,1,primary_full_target_density1
-4.01194144010544,-8.7074938472112,-6.371188100179037,full_target_density2,oral_slots_offset_mean_mm,20,released,384,4,primary_full_target_density1
-3.745996411641441,-8.13757544239362,-5.942699257532756,full_target_density2,oral_slots_offset_mean_mm,20,released,384,8,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,scalp_offset_mean_mm,20,hard,8,1,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,scalp_offset_mean_mm,20,hard,8,4,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,scalp_offset_mean_mm,20,hard,8,8,primary_full_target_density1
-16.184009754657744,-23.23974509000778,-19.654336086908977,head_target_density1,scalp_offset_mean_mm,20,adaptive,8,1,primary_full_target_density1
-14.881629284620288,-21.066821051438648,-18.049599218368527,head_target_density1,scalp_offset_mean_mm,20,adaptive,8,4,primary_full_target_density1
