ci_high,ci_low,control_advantage_mean,control_variant,identity_count,method,metric,n_id,n_obs,reference_variant,region
-0.0054866975801876276,-0.010905748026679924,-0.008184213173969645,head_target_density1,20,hard,masked_psnr,384,8,primary_full_target_density1,flame_unsupported
-0.02522936694559791,-0.05718380739977241,-0.03952362202587749,head_target_density1,20,hard,masked_psnr,384,8,primary_full_target_density1,foreground
-0.022393231290585614,-0.08466359274840134,-0.04928883644558182,head_target_density1,20,hard,masked_psnr,384,8,primary_full_target_density1,full_frame
0.00861343693612646,-0.01630783956436115,-0.003029953567620325,head_target_density1,20,hard,masked_psnr,384,8,primary_full_target_density1,head_foreground
0.03351864883034215,-0.030833003550869972,0.0010748083664235963,head_target_density1,20,hard,masked_psnr,384,8,primary_full_target_density1,head_supported
0.0008353289942697791,-0.017126154949001163,-0.0064741662865803965,head_target_density1,20,hard,masked_psnr,384,8,primary_full_target_density1,head_unsupported
0.0037655220018868365,-0.06185125473983323,-0.02896650677561823,head_target_density1,20,hard,masked_psnr,384,8,primary_full_target_density1,oral
-0.03578806160877686,-0.11675415079703652,-0.06950091214600136,head_target_density1,20,hard,masked_psnr,384,8,primary_full_target_density1,torso_outside_head_roi
2.832599255706393,0.15330599890593674,1.583981545639872,head_target_density1,20,adaptive,masked_psnr,384,1,primary_full_target_density1,background
0.4724950990794259,-0.08871120515700054,0.18821192217500116,head_target_density1,20,adaptive,masked_psnr,384,1,primary_full_target_density1,eyes
-1.0657493948888794,-2.5871149212330726,-1.8242697559720278,head_target_density1,20,adaptive,masked_psnr,384,1,primary_full_target_density1,flame_supported
-3.841124929817248,-6.572735603950705,-5.232265451216268,head_target_density1,20,adaptive,masked_psnr,384,1,primary_full_target_density1,flame_unsupported
-3.091063778171817,-5.223541530204729,-4.18716502243632,head_target_density1,20,adaptive,masked_psnr,384,1,primary_full_target_density1,foreground
-1.8317021709907582,-3.3773650370580426,-2.6141038412963615,head_target_density1,20,adaptive,masked_psnr,384,1,primary_full_target_density1,full_frame
1.2315203491701645,0.5158430845160022,0.8693753388949925,head_target_density1,20,adaptive,masked_psnr,384,1,primary_full_target_density1,head_foreground
1.4581547950129254,0.8267316568045971,1.134768392974421,head_target_density1,20,adaptive,masked_psnr,384,1,primary_full_target_density1,head_supported
1.0753852409682687,-1.2215995816559313,0.022379375047469275,head_target_density1,20,adaptive,masked_psnr,384,1,primary_full_target_density1,head_unsupported
1.0165374680477188,0.35868432571740744,0.6911997633921134,head_target_density1,20,adaptive,masked_psnr,384,1,primary_full_target_density1,oral
-5.503864979737285,-8.29882792417298,-6.935628484882082,head_target_density1,20,adaptive,masked_psnr,384,1,primary_full_target_density1,torso_outside_head_roi
3.003449390848521,-0.4318257598773325,1.5056429091602048,head_target_density1,20,adaptive,masked_psnr,384,4,primary_full_target_density1,background
0.8984593142361491,0.36086326070092234,0.6177371810639987,head_target_density1,20,adaptive,masked_psnr,384,4,primary_full_target_density1,eyes
-1.153737895553538,-2.762219653088018,-1.9477847901466494,head_target_density1,20,adaptive,masked_psnr,384,4,primary_full_target_density1,flame_supported
-3.90226792790637,-6.513412718297997,-5.229182634459151,head_target_density1,20,adaptive,masked_psnr,384,4,primary_full_target_density1,flame_unsupported
-3.209556706277891,-5.2593377372650805,-4.241429855299027,head_target_density1,20,adaptive,masked_psnr,384,4,primary_full_target_density1,foreground
-1.8855731961112943,-3.3238218924441703,-2.6147584336912884,head_target_density1,20,adaptive,masked_psnr,384,4,primary_full_target_density1,full_frame
1.152157598120997,0.373279188364715,0.7623286421698529,head_target_density1,20,adaptive,masked_psnr,384,4,primary_full_target_density1,head_foreground
1.710966498834173,1.0765689905248235,1.3774036493840425,head_target_density1,20,adaptive,masked_psnr,384,4,primary_full_target_density1,head_supported
0.678796712926477,-1.6571230935700572,-0.41135095913818515,head_target_density1,20,adaptive,masked_psnr,384,4,primary_full_target_density1,head_unsupported
1.1277949659553712,0.4063734583867937,0.7741653838333962,head_target_density1,20,adaptive,masked_psnr,384,4,primary_full_target_density1,oral
-5.532731756037369,-8.127370983628477,-6.863260135029859,head_target_density1,20,adaptive,masked_psnr,384,4,primary_full_target_density1,torso_outside_head_roi
2.7549916893858573,-0.5825134737125095,1.299827483293382,head_target_density1,20,adaptive,masked_psnr,384,8,primary_full_target_density1,background
0.7828158813176881,0.20899385259295924,0.4906182515377647,head_target_density1,20,adaptive,masked_psnr,384,8,primary_full_target_density1,eyes
-1.162613399313909,-2.931494250801772,-2.0321870389269288,head_target_density1,20,adaptive,masked_psnr,384,8,primary_full_target_density1,flame_supported
-4.048204656570437,-6.6495825954781465,-5.390619009846427,head_target_density1,20,adaptive,masked_psnr,384,8,primary_full_target_density1,flame_unsupported
-3.3105282538461394,-5.424352290278431,-4.39427591214088,head_target_density1,20,adaptive,masked_psnr,384,8,primary_full_target_density1,foreground
-1.9994320344163894,-3.4612780628892486,-2.7419882221700305,head_target_density1,20,adaptive,masked_psnr,384,8,primary_full_target_density1,full_frame
1.1193508283241063,0.30527436276625236,0.7070943286013305,head_target_density1,20,adaptive,masked_psnr,384,8,primary_full_target_density1,head_foreground
1.7826372219966249,1.0098328076584797,1.382989577660789,head_target_density1,20,adaptive,masked_psnr,384,8,primary_full_target_density1,head_supported
0.4811569762442845,-1.8248962553059929,-0.574634709144273,head_target_density1,20,adaptive,masked_psnr,384,8,primary_full_target_density1,head_unsupported
1.2241811108966913,0.45248691733256874,0.8552970870923546,head_target_density1,20,adaptive,masked_psnr,384,8,primary_full_target_density1,oral
-5.609306410581352,-8.328213634328113,-6.964864562048246,head_target_density1,20,adaptive,masked_psnr,384,8,primary_full_target_density1,torso_outside_head_roi
3.2247596989119174,1.3576892147992408,2.214750028065713,head_target_density1,20,released,masked_psnr,384,1,primary_full_target_density1,background
1.3119441923380006,0.49475470218527845,0.903534879765268,head_target_density1,20,released,masked_psnr,384,1,primary_full_target_density1,eyes
-0.8967768152218726,-2.507095684710964,-1.7018168443690687,head_target_density1,20,released,masked_psnr,384,1,primary_full_target_density1,flame_supported
-4.482826926222358,-7.07643137533619,-5.814283727370123,head_target_density1,20,released,masked_psnr,384,1,primary_full_target_density1,flame_unsupported
-3.455130267931553,-5.584128903919413,-4.548105532301053,head_target_density1,20,released,masked_psnr,384,1,primary_full_target_density1,foreground
-2.060825932969531,-3.7322224889035946,-2.9130703153046014,head_target_density1,20,released,masked_psnr,384,1,primary_full_target_density1,full_frame
1.2426665366449274,0.45422520012627954,0.8575810903811295,head_target_density1,20,released,masked_psnr,384,1,primary_full_target_density1,head_foreground
1.5281784905076794,0.9231685065861027,1.2216263249425987,head_target_density1,20,released,masked_psnr,384,1,primary_full_target_density1,head_supported
0.8409273882277377,-1.0534960540143354,-0.05364849913389245,head_target_density1,20,released,masked_psnr,384,1,primary_full_target_density1,head_unsupported
1.0048317871939958,0.5282185954109417,0.7549856239015821,head_target_density1,20,released,masked_psnr,384,1,primary_full_target_density1,oral
-5.977468430687981,-8.853801236893451,-7.449801626636732,head_target_density1,20,released,masked_psnr,384,1,primary_full_target_density1,torso_outside_head_roi
