advantage_over_hard_mean,ci_high,ci_low,comparison,fraction_identities_advantage_positive,identity_count,metric,n_id,n_obs,region,training_seed,variant
0.01657358519570345,0.02776347641158973,0.006051045771700724,adaptive,0.65,20,masked_mae,384,4,head_foreground,0,primary_full_target_density1
0.021590628868296987,0.03177623509371258,0.011880517797358546,released,0.75,20,masked_mae,384,4,head_foreground,0,primary_full_target_density1
-0.013310343283334209,-0.009910073975989517,-0.01709755474615238,adaptive,0.0,20,masked_mae,384,4,head_supported,0,primary_full_target_density1
-0.010528338631399417,-0.007330386821370771,-0.013852149241828033,released,0.0,20,masked_mae,384,4,head_supported,0,primary_full_target_density1
0.23048400026142052,0.3019975665785376,0.1602644988774317,adaptive,0.95,20,masked_mae,384,4,head_unsupported,0,primary_full_target_density1
0.2576739458318682,0.32417313110086204,0.19220956310328768,released,1.0,20,masked_mae,384,4,head_unsupported,0,primary_full_target_density1
-0.008054354990572679,-0.005245367474296157,-0.011180591061039488,adaptive,0.1,20,masked_mae,384,4,oral,0,primary_full_target_density1
-0.005654636262709357,-0.0033754298545722794,-0.00796575900622939,released,0.2,20,masked_mae,384,4,oral,0,primary_full_target_density1
0.3127326402921449,0.37524728044723593,0.24439018476191915,adaptive,1.0,20,masked_mae,384,4,torso_outside_head_roi,0,primary_full_target_density1
0.3247343045229618,0.38954409365249965,0.2551739983516338,released,1.0,20,masked_mae,384,4,torso_outside_head_roi,0,primary_full_target_density1
-0.020427137556023458,-0.014536249666917272,-0.026623259692892167,adaptive,0.05,20,masked_mae,384,8,background,0,primary_full_target_density1
-0.021836918379466302,-0.015075362224565441,-0.030856628056228616,released,0.0,20,masked_mae,384,8,background,0,primary_full_target_density1
0.0025136523089755243,0.005769495848205129,-0.0006712250697589693,adaptive,0.65,20,masked_mae,384,8,eyes,0,primary_full_target_density1
-0.0014109863262325452,0.002376764690538988,-0.00503870376317333,released,0.4,20,masked_mae,384,8,eyes,0,primary_full_target_density1
-0.006583715817084892,-0.0013515560524552286,-0.011960834565281351,adaptive,0.4,20,masked_mae,384,8,flame_supported,0,primary_full_target_density1
-0.004692941403960144,0.0007749802063689897,-0.01001922946271734,released,0.35,20,masked_mae,384,8,flame_supported,0,primary_full_target_density1
0.3683723090319254,0.44191384857596894,0.29333270594871685,adaptive,1.0,20,masked_mae,384,8,flame_unsupported,0,primary_full_target_density1
0.3878579059854725,0.46071821375924976,0.3124031539729461,released,1.0,20,masked_mae,384,8,flame_unsupported,0,primary_full_target_density1
0.10628534392044538,0.13028259760325855,0.08150656653042267,adaptive,1.0,20,masked_mae,384,8,foreground,0,primary_full_target_density1
0.11327401969163511,0.1377233171854095,0.08830330350000602,released,1.0,20,masked_mae,384,8,foreground,0,primary_full_target_density1
0.05029907430405224,0.0651474786204693,0.036062783606640704,adaptive,0.95,20,masked_mae,384,8,full_frame,0,primary_full_target_density1
0.053506737328194956,0.06908204031906603,0.038766469285859674,released,1.0,20,masked_mae,384,8,full_frame,0,primary_full_target_density1
0.016355507639798546,0.027418239734343933,0.006092843598449927,adaptive,0.65,20,masked_mae,384,8,head_foreground,0,primary_full_target_density1
0.020653321685550702,0.03016018655081584,0.011208057706360856,released,0.75,20,masked_mae,384,8,head_foreground,0,primary_full_target_density1
-0.013613363828416358,-0.009816496311285882,-0.01796177415028293,adaptive,0.0,20,masked_mae,384,8,head_supported,0,primary_full_target_density1
-0.011872096988881229,-0.008237983666029892,-0.01565800342875994,released,0.0,20,masked_mae,384,8,head_supported,0,primary_full_target_density1
0.23376893120005557,0.3047323262383215,0.16196044191538111,adaptive,0.95,20,masked_mae,384,8,head_unsupported,0,primary_full_target_density1
0.26244516108286275,0.32679062183807484,0.20020326904347693,released,1.0,20,masked_mae,384,8,head_unsupported,0,primary_full_target_density1
-0.008198427142732006,-0.004995135886069481,-0.011572939323333512,adaptive,0.2,20,masked_mae,384,8,oral,0,primary_full_target_density1
-0.006384872519487028,-0.0038136070299234926,-0.00917148276049129,released,0.2,20,masked_mae,384,8,oral,0,primary_full_target_density1
0.3170008350646435,0.3793288519344554,0.2511547430936434,adaptive,1.0,20,masked_mae,384,8,torso_outside_head_roi,0,primary_full_target_density1
0.32909945792837114,0.39414204882262804,0.2615515947306311,released,1.0,20,masked_mae,384,8,torso_outside_head_roi,0,primary_full_target_density1
-0.012724894074932682,-0.0018060903939081745,-0.025389867672744374,adaptive,0.35,20,masked_mae,8,1,background,1,full_target_density2
-0.007345598787150404,0.0027700665826785446,-0.018419192072531874,released,0.45,20,masked_mae,8,1,background,1,full_target_density2
0.002879433127257763,0.00870014202622843,-0.0021297528067755547,adaptive,0.55,20,masked_mae,8,1,eyes,1,full_target_density2
0.0004471492916287265,0.005619694934195722,-0.005692605028652968,released,0.55,20,masked_mae,8,1,eyes,1,full_target_density2
-0.02163937271738675,-0.015158686267204412,-0.02885776462027561,adaptive,0.05,20,masked_mae,8,1,flame_supported,1,full_target_density2
-0.022541056998071057,-0.015056503852409548,-0.03046499375500291,released,0.05,20,masked_mae,8,1,flame_supported,1,full_target_density2
0.2212078142253228,0.2837206074788844,0.15874888176871424,adaptive,0.95,20,masked_mae,8,1,flame_unsupported,1,full_target_density2
0.20233409578791753,0.266306969524272,0.13752850171320866,released,0.95,20,masked_mae,8,1,flame_unsupported,1,full_target_density2
0.05039636234755783,0.07038416279232705,0.02843725779985802,adaptive,0.85,20,masked_mae,8,1,foreground,1,full_target_density2
0.04426068246550735,0.06575826944375188,0.021467739108031885,released,0.85,20,masked_mae,8,1,foreground,1,full_target_density2
0.021967340096250756,0.03801718187054772,0.004377633645098449,adaptive,0.75,20,masked_mae,8,1,full_frame,1,full_target_density2
0.021144658881864502,0.037337723703030894,0.0046480951925892845,released,0.7,20,masked_mae,8,1,full_frame,1,full_target_density2
-0.008288123448153845,-0.001197957857397845,-0.014938426509121453,adaptive,0.25,20,masked_mae,8,1,head_foreground,1,full_target_density2
-0.013185391077859007,-0.006576358333033658,-0.0198159104168831,released,0.35,20,masked_mae,8,1,head_foreground,1,full_target_density2
-0.020192235887751642,-0.01528204817626411,-0.025118313822600328,adaptive,0.0,20,masked_mae,8,1,head_supported,1,full_target_density2
-0.02169955255322708,-0.016070418796413598,-0.027309058424553435,released,0.05,20,masked_mae,8,1,head_supported,1,full_target_density2
0.08574462355771542,0.11638728295045424,0.05541234934083303,adaptive,0.85,20,masked_mae,8,1,head_unsupported,1,full_target_density2
0.05417733621431048,0.08341319909208095,0.025432952764462738,released,0.8,20,masked_mae,8,1,head_unsupported,1,full_target_density2
-0.0037535086127489735,-0.0010791673985360395,-0.006679532786591742,adaptive,0.25,20,masked_mae,8,1,oral,1,full_target_density2
-0.0025857261206009433,-0.00014570314541422798,-0.005065223853391025,released,0.4,20,masked_mae,8,1,oral,1,full_target_density2
0.18575405295295097,0.24688636223108543,0.11937144182021218,adaptive,0.85,20,masked_mae,8,1,torso_outside_head_roi,1,full_target_density2
0.17021984437569104,0.23298282192691364,0.10501780702170976,released,0.85,20,masked_mae,8,1,torso_outside_head_roi,1,full_target_density2
-0.012807363248489242,-0.000594489366712939,-0.02601353383769355,adaptive,0.5,20,masked_mae,8,4,background,1,full_target_density2
-0.008493134596133425,0.004040353582867991,-0.023155066026493466,released,0.55,20,masked_mae,8,4,background,1,full_target_density2
-0.0006447225030111466,0.0049197962579057754,-0.005574810129534715,adaptive,0.45,20,masked_mae,8,4,eyes,1,full_target_density2
0.00020516141216592385,0.0038410372435830438,-0.003934228835070098,released,0.55,20,masked_mae,8,4,eyes,1,full_target_density2
-0.019608667557118965,-0.013800974685216192,-0.025953003671275204,adaptive,0.05,20,masked_mae,8,4,flame_supported,1,full_target_density2
-0.021284912575395675,-0.01530706257761793,-0.027947526089472707,released,0.0,20,masked_mae,8,4,flame_supported,1,full_target_density2
