fold,condition,radius_mm,camera_id,split,oral_psnr,oral_mae,supported_psnr,unsupported_psnr,head_psnr
fold_b,r025,25.0,222200049,train,32.588467934968705,0.01774538653438422,34.82829632683002,17.486615957297037,20.317652223485613
fold_b,r025,25.0,222200039,train,36.3916411707003,0.011308709472340823,32.510712810567426,20.809682925696983,23.0287343045287
fold_b,r025,25.0,222200045,train,34.59991240532776,0.012435061299902761,35.15029223585716,21.113990726262784,23.779194059963306
fold_b,r025,25.0,221501007,train,34.189206336577605,0.012457516193389893,38.849892184564276,17.08199909996881,20.927736684863607
fold_b,r050,50.0,222200042,train,32.90255901350211,0.012761438886324564,40.392181211108166,25.267839894216447,29.234476939727948
fold_b,r050,50.0,222200044,train,30.998963035988524,0.020409423600202835,38.39814181603983,30.13033435223982,32.38861046186619
fold_b,r050,50.0,222200046,train,36.2977395652389,0.011282051526583159,38.01859095810588,31.000343239639946,33.2673492099207
fold_b,r050,50.0,222200040,train,29.91052967583744,0.022500528315062163,30.904016731094114,28.799040793618566,29.416721595378313
fold_b,r050,50.0,222200036,heldout,31.130184266439848,0.022432469543599304,28.71094543884127,27.428206199273,28.029362681006766
fold_b,r050,50.0,222200048,heldout,28.356703818925638,0.033486458914620536,27.062419749198064,28.85004444044195,28.20840099202075
fold_b,r050,50.0,220700191,train,34.05720193384613,0.015410661697387695,35.711920998163265,30.457975816559134,31.98701286855148
fold_b,r050,50.0,222200041,train,36.83769153734807,0.01093681880405971,34.633920372449424,29.349128645574467,30.782433218982316
fold_b,r050,50.0,222200037,train,39.00814095387508,0.00818627377351125,37.13300834699465,28.929568424524682,31.006185721012027
fold_b,r050,50.0,222200038,train,36.277215947500416,0.01136742230334313,35.571910144864574,29.11101637604295,30.880328592251985
fold_b,r050,50.0,222200047,heldout,32.16730285267052,0.019682009451214587,28.523560965977147,28.40126490434915,28.56770644570869
fold_b,r050,50.0,222200043,heldout,28.692562237138006,0.03251336993593158,27.445541311078525,27.912566034433826,27.792051129738375
fold_b,r050,50.0,222200049,train,32.36511411262504,0.017317369624225087,36.112894521351436,28.584209941991627,30.604820881108648
fold_b,r050,50.0,222200039,train,37.353041560170524,0.010021786357081213,34.5312809566355,30.69235819767254,32.114024577342974
fold_b,r050,50.0,222200045,train,35.15310307343177,0.011982573403252495,39.273956553556964,28.90021780026183,31.751041572930152
fold_b,r050,50.0,221501007,train,32.670726687076254,0.013973855972290039,39.59349548228778,25.338013642134484,28.962426455245524
fold_b,r075,75.0,222200042,train,31.586631581263376,0.016176471114158632,40.43710288179469,31.588164413846016,34.85692552732357
fold_b,r075,75.0,222200044,train,32.90406489619486,0.015550623899735746,38.81098582525925,33.81113660125576,35.38471345426914
fold_b,r075,75.0,222200046,train,34.84178261344008,0.012880844947619315,37.7632501552809,36.52297851451926,37.04408104278501
fold_b,r075,75.0,222200040,train,29.214409975359928,0.025047439657231812,31.88609264764385,30.666654388106657,30.925279070130728
fold_b,r075,75.0,222200036,heldout,30.749505905023877,0.023273456902492853,26.914094941061126,30.71182891116621,28.764679083336574
fold_b,r075,75.0,222200048,heldout,29.0654012839098,0.030647989908854166,26.486279959077645,29.308723620024153,28.118583763694744
fold_b,r075,75.0,220700191,train,33.02379280958875,0.01564690003912133,36.2772763531548,36.00126017506777,36.17072814232826
fold_b,r075,75.0,222200041,train,36.075409250505274,0.01195767115032862,36.23908438241697,31.511969045019242,32.84767004058629
fold_b,r075,75.0,222200037,train,37.66049043356865,0.009534313281377157,37.89019730475022,35.645989993414744,36.53225710739199
fold_b,r075,75.0,222200038,train,35.972770160080856,0.012078686477312075,34.9170720835619,31.216967080850985,32.552092323421206
fold_b,r075,75.0,222200047,heldout,33.359933610378725,0.01780929858521085,28.24032722474115,32.81222190408916,30.28592382478958
fold_b,r075,75.0,222200043,heldout,28.508306967102403,0.03274311874852036,26.141549184307188,30.17207522167898,28.137988125786965
fold_b,r075,75.0,222200049,train,31.27087786806134,0.020001155436918095,36.08265421272971,33.29063965096752,34.1186210292327
fold_b,r075,75.0,222200039,train,36.105061777097845,0.011146577445727602,33.2558812901047,33.76910283674592,33.152052923846234
fold_b,r075,75.0,222200045,train,35.43008784805672,0.012435061299902761,39.86596756958121,33.09211262450162,35.05466535993606
fold_b,r075,75.0,221501007,train,34.01012008340663,0.011633985837300619,40.054109703897765,32.581592967373105,35.296352695148414
fold_b,r100,100.0,222200042,train,30.319535294380643,0.015898692607879638,40.84608293087066,34.27106096398743,36.980351918580716
fold_b,r100,100.0,222200044,train,31.19082531688911,0.01920088881966453,39.46939791633672,35.55374055296534,36.916281609392776
fold_b,r100,100.0,222200046,train,36.51251794294961,0.011171443645770733,37.6259652904993,36.97011751944969,37.46230861156797
