subject,fold,condition,camera_id,region,psnr
445,fold_a,r075,222200042,supported,26.929919125707418
445,fold_a,r075,222200036,supported,31.94055795768074
445,fold_a,r075,222200041,supported,33.26858954404626
445,fold_a,r075,222200043,supported,31.683291154894246
445,fold_a,r075,221501007,supported,29.022156995852036
445,fold_a,r075,222200042,unsupported,24.04921549892649
445,fold_a,r075,222200036,unsupported,31.11284622763497
445,fold_a,r075,222200041,unsupported,27.22462146003278
445,fold_a,r075,222200043,unsupported,28.425421583779666
445,fold_a,r075,221501007,unsupported,23.387529665191494
445,fold_a,r075,222200042,head,25.338148498325083
445,fold_a,r075,222200036,head,31.30629483637799
445,fold_a,r075,222200041,head,29.56799355755475
445,fold_a,r075,222200043,head,29.657832313046953
445,fold_a,r075,221501007,head,25.91476735687397
445,fold_a,free,222200042,supported,27.16326606136963
445,fold_a,free,222200036,supported,32.34685793586866
445,fold_a,free,222200041,supported,32.716743728934624
445,fold_a,free,222200043,supported,31.169398519858625
445,fold_a,free,221501007,supported,28.828948552161012
445,fold_a,free,222200042,unsupported,23.17695693707399
445,fold_a,free,222200036,unsupported,30.127169068855032
445,fold_a,free,222200041,unsupported,27.66708422684283
445,fold_a,free,222200043,unsupported,27.764748267180117
445,fold_a,free,221501007,unsupported,23.456192085839156
445,fold_a,free,222200042,head,25.465697210350516
445,fold_a,free,222200036,head,30.841350562511742
445,fold_a,free,222200041,head,29.57405868536382
445,fold_a,free,222200043,head,29.058443126916043
445,fold_a,free,221501007,head,25.936913780946
445,fold_b,hard,222200040,supported,22.76147191385247
445,fold_b,hard,220700191,supported,25.267741812282893
445,fold_b,hard,222200047,supported,24.342415022233766
445,fold_b,hard,222200045,supported,20.23843765432794
445,fold_b,hard,222200040,unsupported,13.204493587314134
445,fold_b,hard,220700191,unsupported,8.425475145054227
445,fold_b,hard,222200047,unsupported,8.028384955310651
445,fold_b,hard,222200045,unsupported,11.684055711105543
445,fold_b,hard,222200040,head,16.529839759603565
445,fold_b,hard,220700191,head,12.402408084763083
445,fold_b,hard,222200047,head,12.005093538755357
445,fold_b,hard,222200045,head,14.263649623293338
445,fold_b,r075,222200040,supported,32.93195756029259
445,fold_b,r075,220700191,supported,31.014747145537505
445,fold_b,r075,222200047,supported,31.097738677270875
445,fold_b,r075,222200045,supported,27.162717576668545
445,fold_b,r075,222200040,unsupported,28.690956589652146
445,fold_b,r075,220700191,unsupported,29.718687663180326
445,fold_b,r075,222200047,unsupported,30.11966404404326
445,fold_b,r075,222200045,unsupported,24.40522360008556
445,fold_b,r075,222200040,head,30.7689964544317
445,fold_b,r075,220700191,head,30.37753849583993
445,fold_b,r075,222200047,head,30.450847858518223
445,fold_b,r075,222200045,head,25.80534463818049
445,fold_b,free,222200040,supported,32.847203636973674
445,fold_b,free,220700191,supported,31.731154882136295
445,fold_b,free,222200047,supported,31.24647774189947
445,fold_b,free,222200045,supported,27.41975046316485
445,fold_b,free,222200040,unsupported,27.87941136938581
445,fold_b,free,220700191,unsupported,31.098355146232684
445,fold_b,free,222200047,unsupported,30.572428202894855
445,fold_b,free,222200045,unsupported,25.558814078430864
445,fold_b,free,222200040,head,30.032575227250938
445,fold_b,free,220700191,head,31.270626435003642
445,fold_b,free,222200047,head,30.762496097253162
445,fold_b,free,222200045,head,26.38948786159309
445,fold_c,hard,222200044,supported,19.493188135186248
445,fold_c,hard,222200048,supported,22.5413998303019
445,fold_c,hard,222200038,supported,23.188146781205088
445,fold_c,hard,222200049,supported,25.313119488333058
445,fold_c,hard,222200044,unsupported,14.588514974789856
445,fold_c,hard,222200048,unsupported,11.459880293794322
445,fold_c,hard,222200038,unsupported,12.131864399569208
445,fold_c,hard,222200049,unsupported,8.256359142926605
445,fold_c,hard,222200044,head,16.501136640616433
445,fold_c,hard,222200048,head,14.711545772428195
445,fold_c,hard,222200038,head,15.65687986723841
445,fold_c,hard,222200049,head,12.298254181354123
445,fold_c,r075,222200044,supported,29.226931306279482
445,fold_c,r075,222200048,supported,33.72436627083563
445,fold_c,r075,222200038,supported,34.129807153137286
445,fold_c,r075,222200049,supported,32.13542632348607
445,fold_c,r075,222200044,unsupported,22.03762569762756
445,fold_c,r075,222200048,unsupported,28.186273627098007
445,fold_c,r075,222200038,unsupported,27.359937423566116
445,fold_c,r075,222200049,unsupported,28.756047941580576
445,fold_c,r075,222200044,head,24.977944852812982
445,fold_c,r075,222200048,head,30.333938448197735
445,fold_c,r075,222200038,head,29.933545625176205
445,fold_c,r075,222200049,head,30.075904252791368
445,fold_c,free,222200044,supported,27.739628812868403
445,fold_c,free,222200048,supported,33.916022324325056
445,fold_c,free,222200038,supported,33.54364725455638
445,fold_c,free,222200049,supported,31.388373596511357
445,fold_c,free,222200044,unsupported,22.602305784714538
445,fold_c,free,222200048,unsupported,30.35660553243728
445,fold_c,free,222200038,unsupported,28.415159876546014
445,fold_c,free,222200049,unsupported,28.76648049208366
445,fold_c,free,222200044,head,24.756579339847285
445,fold_c,free,222200048,head,31.408096455961495
445,fold_c,free,222200038,head,30.114070989795213
445,fold_c,free,222200049,head,29.940318498535813
475,fold_a,hard,222200042,supported,19.252703321351376
475,fold_a,hard,222200036,supported,23.495981354763842
475,fold_a,hard,222200041,supported,24.414892867507024
475,fold_a,hard,222200043,supported,23.662244813452645
475,fold_a,hard,221501007,supported,21.72072419034197
475,fold_a,hard,222200042,unsupported,17.92940650684026
475,fold_a,hard,222200036,unsupported,11.955978027775995
475,fold_a,hard,222200041,unsupported,16.2744693271294
475,fold_a,hard,222200043,unsupported,16.688858666029997
475,fold_a,hard,221501007,unsupported,15.812519730046313
475,fold_a,hard,222200042,head,18.696873368032623
475,fold_a,hard,222200036,head,15.373795056162846
475,fold_a,hard,222200041,head,19.106160110136575
475,fold_a,hard,222200043,head,19.618506902300947
475,fold_a,hard,221501007,head,18.31798744806581
475,fold_a,r075,222200042,supported,26.62404857864995
475,fold_a,r075,222200036,supported,29.194533035167794
475,fold_a,r075,222200041,supported,28.394473454892555
475,fold_a,r075,222200043,supported,28.66319523356632
475,fold_a,r075,221501007,supported,27.884386633660945
475,fold_a,r075,222200042,unsupported,25.202155705372668
475,fold_a,r075,222200036,unsupported,25.770953336300302
475,fold_a,r075,222200041,unsupported,26.404447677193495
475,fold_a,r075,222200043,unsupported,25.98436028178468
475,fold_a,r075,221501007,unsupported,27.037922677375875
475,fold_a,r075,222200042,head,25.73992823712919
475,fold_a,r075,222200036,head,26.937824284459204
475,fold_a,r075,222200041,head,27.00595821456605
475,fold_a,r075,222200043,head,27.175092023583403
475,fold_a,r075,221501007,head,27.213279200891805
475,fold_a,free,222200042,supported,26.788269854104378
475,fold_a,free,222200036,supported,28.91267397621077
